,timestamp,Alt_Baro,Alt_VPS,VZ
1:32:15.8 PM,0.1,0,0.7,0
1:32:15.9 PM,0.2,0,0.7,0
1:32:16.0 PM,0.3,0,0.7,0
1:32:16.1 PM,0.4,0,0.7,0
1:32:16.2 PM,0.5,0,0.7,-0.2
1:32:16.3 PM,0.6,0,0.7,-0.2
1:32:16.4 PM,0.7,0,0.7,-0.2
1:32:16.5 PM,0.8,0,0.7,-0.2
1:32:16.6 PM,0.9,0,0.7,-0.2
1:32:16.8 PM,1.0,0,0.7,-0.2
1:32:16.9 PM,1.1,0,0.7,-0.2
1:32:17.0 PM,1.2,0,0.7,-0.2
1:32:17.1 PM,1.3,0,0.7,-0.2
1:32:17.2 PM,1.4,0.3,0.7,-0.2
1:32:17.3 PM,1.5,0.3,0.7,-0.5
1:32:17.3 PM,1.6,0.3,0.7,-0.5
1:32:17.4 PM,1.7,0.3,0.7,-0.2
1:32:17.5 PM,1.8,0.3,0.7,-0.2
1:32:17.6 PM,1.9,0.3,0.7,-0.2
1:32:17.7 PM,2.0,0.3,0.7,-0.2
1:32:17.8 PM,2.1,0.3,0.7,-0.2
1:32:17.9 PM,2.2,0.3,0.7,-0.2
1:32:18.0 PM,2.3,0.7,0.7,-0.2
1:32:18.1 PM,2.4,0.7,0.7,-0.2
1:32:18.2 PM,2.5,0.7,0.7,-0.2
1:32:18.3 PM,2.6,0.7,0.7,-0.2
1:32:18.4 PM,2.7,0.7,0.7,-0.2
1:32:18.6 PM,2.8,0.7,0.7,-0.2
1:32:18.7 PM,2.9,0.7,0.7,-0.2
1:32:18.8 PM,3.0,0.7,0.7,-0.2
1:32:18.9 PM,3.1,0.7,0.7,-0.2
1:32:19.0 PM,3.2,0.7,0.7,-0.2
1:32:19.1 PM,3.3,0.7,0.7,-0.2
1:32:19.1 PM,3.4,0.7,0.7,-0.2
1:32:19.2 PM,3.5,0.7,0.7,-0.2
1:32:19.3 PM,3.6,0.7,0.7,-0.2
1:32:19.4 PM,3.7,1.0,0.7,-0.2
1:32:19.5 PM,3.8,1.0,0.7,-0.7
1:32:19.6 PM,3.9,1.0,0.7,-0.7
1:32:19.7 PM,4.0,1.0,0.7,-0.9
1:32:19.9 PM,4.1,1.3,1.0,-1.1
1:32:19.9 PM,4.2,1.3,1.0,-1.1
1:32:20.0 PM,4.3,1.6,1.3,-1.3
1:32:20.1 PM,4.4,2.0,1.6,-1.8
1:32:20.2 PM,4.5,2.3,1.6,-2.5
1:32:20.3 PM,4.6,2.6,2.3,-3.1
1:32:20.4 PM,4.7,3.0,2.6,-4.3
1:32:20.5 PM,4.8,3.9,3.3,-5.4
1:32:20.6 PM,4.9,4.6,3.9,-6.5
1:32:20.8 PM,5.0,5.6,4.9,-7.4
1:32:20.9 PM,5.1,6.9,6.2,-8.3
1:32:21.0 PM,5.2,8.2,7.2,-9.0
1:32:21.1 PM,5.3,9.5,8.5,-9.4
1:32:21.2 PM,5.4,10.8,9.8,-9.8
1:32:21.2 PM,5.5,12.5,11.5,-10.1
1:32:21.3 PM,5.6,13.8,12.8,-10.3
1:32:21.4 PM,5.7,15.4,14.4,-10.5
1:32:21.5 PM,5.8,17.1,16.1,-10.1
1:32:21.6 PM,5.9,18.4,17.4,-9.0
1:32:21.7 PM,6.0,19.7,18.7,-7.8
1:32:21.8 PM,6.1,20.7,19.7,-6.3
1:32:21.9 PM,6.2,21.3,20.7,-4.7
1:32:22.0 PM,6.3,22.0,21.3,-3.1
1:32:22.1 PM,6.4,22.3,21.7,-2.0
1:32:22.2 PM,6.5,22.6,22.0,-1.1
1:32:22.3 PM,6.6,23.0,22.3,-0.7
1:32:22.4 PM,6.7,23.0,22.3,-0.2
1:32:22.6 PM,6.8,23.0,22.3,0
1:32:22.7 PM,6.9,23.0,22.3,0
1:32:22.8 PM,7.0,23.0,22.3,0
