num,pday,pTempMax_Deg,pTempMin_Deg,pWind_kmh,pWet_percent,pVisibility_km,pCloudCoverage_percent,pDayduration_hour,pregion,pTempMax_Deg_1,pTempMin_Deg_1,pWind_kmh_1,pWet_percent_1,pVisibility_km_1,pCloudCoverage_percent_1,pDayduration_hour_1
0,2010-03-12,10,1,14,73,10,18,11:44:0,languedoc-roussillon,10,1,14,73,10,18,11:44:0
1,2010-03-16,16,6,17,74,10,6,11:57:0,languedoc-roussillon,16,6,17,74,10,6,11:57:0
2,2010-03-29,18,11,10,77,10,18,12:34:0,corse,18,11,10,77,10,18,12:34:0
3,2010-04-06,17,8,15,77,10,24,12:56:0,corse,17,8,15,77,10,24,12:56:0
4,2010-04-09,20,11,17,81,10,7,13:9:0,languedoc-roussillon,20,11,17,81,10,7,13:9:0
5,2010-05-26,20,16,16,85,10,11,15:4:0,languedoc-roussillon,20,16,16,85,10,11,15:4:0
6,2010-05-31,22,19,31,73,10,30,15:11:0,languedoc-roussillon,22,19,31,73,10,30,15:11:0
7,2010-05-31,20,18,44,72,10,18,15:9:0,provence-alpes-c-te-d-azur,20,18,44,72,10,18,15:9:0
8,2010-05-31,20,18,44,72,10,18,15:9:0,provence-alpes-c-te-d-azur,20,18,44,72,10,18,15:9:0
9,2010-06-28,28,21,11,75,9.875,13,15:25:0,languedoc-roussillon,28,21,11,75,9.875,13,15:25:0
10,2010-07-06,28,22,19,69,10,1,15:18:0,languedoc-roussillon,28,22,19,69,10,1,15:18:0
11,2010-07-08,28,24,17,67,10,6,15:16:0,languedoc-roussillon,28,24,17,67,10,6,15:16:0
12,2010-07-24,28,19,24,65,10,17,14:51:0,languedoc-roussillon,28,19,24,65,10,17,14:51:0
13,2010-07-24,27,19,45,61,10,7,14:49:0,provence-alpes-c-te-d-azur,27,19,45,61,10,7,14:49:0
14,2010-07-26,27,21,22,67,10,16,14:47:0,languedoc-roussillon,27,21,22,67,10,16,14:47:0
15,2010-07-26,27,21,22,67,10,16,14:47:0,languedoc-roussillon,27,21,22,67,10,16,14:47:0
16,2010-07-29,28,22,26,72,10,17,14:40:0,languedoc-roussillon,28,22,26,72,10,17,14:40:0
17,2010-07-31,28,19,14,64,10,2,14:36:0,languedoc-roussillon,28,19,14,64,10,2,14:36:0
18,2010-08-11,29,20,15,57,9.875,18,14:9:0,languedoc-roussillon,29,20,15,57,9.875,18,14:9:0
19,2010-08-17,27,17,19,69,10,0,13:55:0,languedoc-roussillon,27,17,19,69,10,0,13:55:0
20,2010-08-28,26,17,26,86,9,9,13:19:0,corse,26,17,26,86,9,9,13:19:0
21,2010-08-28,27,20,24,70,10,2,13:25:0,languedoc-roussillon,27,20,24,70,10,2,13:25:0
22,2010-08-28,26,17,26,86,9,9,13:19:0,corse,26,17,26,86,9,9,13:19:0
23,2010-08-28,27,20,24,70,10,2,13:25:0,languedoc-roussillon,27,20,24,70,10,2,13:25:0
24,2010-08-29,26,19,12,78,10,14,13:16:0,corse,26,19,12,78,10,14,13:16:0
25,2010-08-30,25,16,27,61,10,2,13:18:0,languedoc-roussillon,25,16,27,61,10,2,13:18:0
26,2010-08-30,25,16,27,61,10,2,13:18:0,languedoc-roussillon,25,16,27,61,10,2,13:18:0
27,2010-08-30,25,16,27,61,10,2,13:18:0,languedoc-roussillon,25,16,27,61,10,2,13:18:0
28,2010-08-30,23,16,47,67,10,1,13:18:0,provence-alpes-c-te-d-azur,23,16,47,67,10,1,13:18:0
29,2010-08-30,25,16,27,61,10,2,13:18:0,languedoc-roussillon,25,16,27,61,10,2,13:18:0
30,2010-08-30,23,16,47,67,10,1,13:18:0,provence-alpes-c-te-d-azur,23,16,47,67,10,1,13:18:0
31,2010-08-30,25,16,27,61,10,2,13:18:0,languedoc-roussillon,25,16,27,61,10,2,13:18:0
32,2010-08-30,25,16,27,61,10,2,13:18:0,languedoc-roussillon,25,16,27,61,10,2,13:18:0
33,2010-08-30,23,16,47,67,10,1,13:18:0,provence-alpes-c-te-d-azur,23,16,47,67,10,1,13:18:0
34,2010-08-31,26,13,15,66,10,1,13:11:0,corse,26,13,15,66,10,1,13:11:0
35,2010-08-31,26,13,15,66,10,1,13:11:0,corse,26,13,15,66,10,1,13:11:0
36,2010-08-31,26,14,24,69,10,0,13:15:0,languedoc-roussillon,26,14,24,69,10,0,13:15:0
37,2010-08-31,26,14,24,69,10,0,13:15:0,languedoc-roussillon,26,14,24,69,10,0,13:15:0
38,2010-08-31,26,14,24,69,10,0,13:15:0,languedoc-roussillon,26,14,24,69,10,0,13:15:0
39,2010-08-31,26,14,24,69,10,0,13:15:0,languedoc-roussillon,26,14,24,69,10,0,13:15:0
40,2010-08-31,26,14,24,69,10,0,13:15:0,languedoc-roussillon,26,14,24,69,10,0,13:15:0
41,2010-09-03,25,16,8,84,9.75,8,13:3:0,corse,25,16,8,84,9.75,8,13:3:0
42,2010-09-04,29,19,15,69,10,10,13:4:0,languedoc-roussillon,29,19,15,69,10,10,13:4:0
43,2010-09-11,25,15,12,82,10,5,12:41:0,corse,25,15,12,82,10,5,12:41:0
44,2010-09-15,25,18,17,74,10,2,12:32:0,provence-alpes-c-te-d-azur,25,18,17,74,10,2,12:32:0
45,2010-09-16,24,16,18,89,9,28,12:27:0,corse,24,16,18,89,9,28,12:27:0
46,2010-09-20,22,14,12,69,10,8,12:17:0,languedoc-roussillon,22,14,12,69,10,8,12:17:0
47,2010-10-02,22,15,9,87,10,24,11:42:0,corse,22,15,9,87,10,24,11:42:0
48,2010-10-03,21,17,39,92,8.75,41,11:38:0,languedoc-roussillon,21,17,39,92,8.75,41,11:38:0
49,2010-10-04,23,18,20,93,8.5,40,11:37:0,corse,23,18,20,93,8.5,40,11:37:0
