Departement,Code_INSEE,pregion,code_DFCI,Jour,Heure,Surface_parcourue_m2,pTempMax_Deg,pTempMin_Deg,pWind_kmh,pWet_percent,pVisibility_km,pCloudCoverage_percent,pDayduration_hour,FFMC,ISI,SB
13,13082,languedoc-roussillon,KD44B92,2010-03-12,14:37:00,200,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,200
34,34286,languedoc-roussillon,GD86D1,2010-03-12,14:59:00,74500,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,74500
34,34013,languedoc-roussillon,GD80F0,2010-03-12,18:21:00,27000,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,27000
34,34109,languedoc-roussillon,GD62K6,2010-03-12,18:42:00,5000,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,5000
06,06023,languedoc-roussillon,MD08G92,2010-03-12,22:45:00,1045,10,1,14,73,10.0,18.0,11:44:0,82.64777618424372,1.9704594373596311,1045
07,07322,languedoc-roussillon,HE46F33,2010-03-16,10:04:00,8518,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,8518
07,07025,languedoc-roussillon,HE46C33,2010-03-16,11:16:00,5000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,5000
04,04152,languedoc-roussillon,KD66H7,2010-03-16,11:48:00,5000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,5000
07,07202,languedoc-roussillon,HE24L45,2010-03-16,13:23:00,7419,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,7419
34,34224,languedoc-roussillon,GD62G3,2010-03-16,13:24:00,11000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,11000
34,34141,languedoc-roussillon,GD20B7,2010-03-16,13:57:00,280000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,280000
13,13030,languedoc-roussillon,KD60H72,2010-03-16,13:59:00,50000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,50000
34,34039,languedoc-roussillon,HD02D4,2010-03-16,14:06:00,2000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,2000
34,34238,languedoc-roussillon,HD06D6,2010-03-16,14:09:00,10600,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,10600
07,07275,languedoc-roussillon,HE44B54,2010-03-16,14:40:00,4000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,4000
13,13088,languedoc-roussillon,KD22L11,2010-03-16,15:44:00,9000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,9000
34,34268,languedoc-roussillon,GD84E8,2010-03-16,16:12:00,9200,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,9200
66,66165,languedoc-roussillon,GC02L94,2010-03-16,16:41:00,7000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,7000
04,04160,languedoc-roussillon,KD68C0,2010-03-16,16:44:00,3000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,3000
66,66071,languedoc-roussillon,GC24E51,2010-03-16,17:22:00,8000,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,8000
34,34018,languedoc-roussillon,GD62D61,2010-03-16,17:58:00,10005,16,6,17,74,10.0,6.0,11:57:0,87.56040626489077,6.666104511969394,10005
2B,2B355,corse,NC64L45,2010-03-29,13:08:00,80000,18,11,10,77,10.0,18.0,12:34:0,87.27500522843535,4.459597316775168,80000
2B,2B054,corse,NC64K33,2010-03-29,13:43:00,20000,18,11,10,77,10.0,18.0,12:34:0,87.27500522843535,4.459597316775168,20000
2B,2B214,corse,NC84B14,2010-03-29,13:57:00,1800,18,11,10,77,10.0,18.0,12:34:0,87.27500522843535,4.459597316775168,1800
66,66084,corse,GC22K55,2010-03-29,15:53:00,5000,18,11,10,77,10.0,18.0,12:34:0,87.27500522843535,4.459597316775168,5000
07,07275,corse,HE44B51,2010-04-06,14:46:00,16208,17,8,15,77,10.0,24.0,12:56:0,87.00039521869583,5.466967235972542,16208
2B,2B265,corse,NC64K82,2010-04-06,15:55:00,80000,17,8,15,77,10.0,24.0,12:56:0,87.00039521869583,5.466967235972542,80000
2B,2B148,corse,NC84A63,2010-04-06,21:49:00,1000,17,8,15,77,10.0,24.0,12:56:0,87.00039521869583,5.466967235972542,1000
06,06118,languedoc-roussillon,LD66A05,2010-04-09,14:22:00,2500,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,2500
34,34083,languedoc-roussillon,GD44K1,2010-04-09,14:59:00,10000,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,10000
06,06031,languedoc-roussillon,MD06B81,2010-04-09,15:20:00,500,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,500
66,66165,languedoc-roussillon,GC02K82,2010-04-09,15:52:00,80000,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,80000
06,06013,languedoc-roussillon,ME00A23,2010-04-09,17:43:00,1000,20,11,17,81,10.0,7.0,13:9:0,82.37658230924418,2.1136769240881317,1000
34,34061,languedoc-roussillon,GD62B6,2010-05-26,09:39:00,123700,20,16,16,85,10.0,11.0,15:4:0,81.62121560697312,1.5714800334849934,123700
34,34173,languedoc-roussillon,GD48H72,2010-05-26,11:30:00,5000,20,16,16,85,10.0,11.0,15:4:0,81.62121560697312,1.5714800334849934,5000
2A,2A004,languedoc-roussillon,NB28H14,2010-05-26,13:06:00,20,20,16,16,85,10.0,11.0,15:4:0,81.62121560697312,1.5714800334849934,20
07,07281,languedoc-roussillon,HE88K85,2010-05-26,17:41:00,5000,20,16,16,85,10.0,11.0,15:4:0,81.62121560697312,1.5714800334849934,5000
